text,sentiment,labels
"Friendly, honest and easy to talk to and responds fast.",positive,fast_response|friendly
"Great experience. treated my home with respect, lovely person. On top of that good quality and durable.",positive,friendly|high_quality
Would not recommend. kept me waiting all morning.,negative,late
Excellent worker. replied to my request within minutes.,positive,fast_response
"Very satisfied. charged exactly what was quoted, no surprises and very friendly and polite and very punctual, respected my schedule.",positive,friendly|price_fair|punctual
Would hire again. responded quickly and scheduled the visit fast and fixed everything perfectly.,positive,fast_response|high_quality
"Very disappointed. zero manners, very unpleasant person.",negative,rude
Great experience. finished the job within the promised time.,positive,punctual
Avoid this worker. too expensive. On top of that hours late and extremely slow communication.,negative,late|overpriced|slow_response
Would not recommend. such a rude person.,negative,rude
"Really happy with this. friendly, honest and easy to talk to and left everything clean and tidy after finishing — always punctual.",positive,friendly|high_quality|punctual
Great experience. fair price for good work — fast reply.,positive,fast_response|price_fair
"Bad experience. had to chase him constantly for updates. On top of that sloppy job, it broke again after a week. Also not worth the money at all.",negative,overpriced|poor_quality|slow_response
Avoid this worker. never arrived at the agreed time.,negative,late
Terrible service. not worth the money at all and the work quality was terrible.,negative,overpriced|poor_quality
Excellent worker. perfect job.,positive,high_quality
"Great experience. fast reply. On top of that his work is really good, plus on time.",positive,fast_response|high_quality|punctual
"Would hire again. very reasonable price for the work done. On top of that very punctual, respected my schedule and super fast communication throughout.",positive,fast_response|price_fair|punctual
Added hidden costs at the end.,negative,overpriced
Bad experience. takes forever to answer and charged much more than the original quote.,negative,overpriced|slow_response
Avoid this worker. the job took twice as long as promised. Also disrespectful towards me and my home.,negative,late|rude
Highly recommend. such a kind and respectful person.,positive,friendly
Bad experience. showed up two hours late.,negative,late
Great experience. showed up right when he said he would.,positive,punctual
Very satisfied. responded quickly and scheduled the visit fast. However was really rude on the phone.,mixed,fast_response|rude
"Great experience. charged exactly what was quoted, no surprises.",positive,price_fair
"Highly recommend. outstanding work on my bathroom, plus instant reply when I contacted him, plus was there at 8 sharp as agreed.",positive,fast_response|high_quality|punctual
"Very disappointed. took long to get back to me, plus poor workmanship, crooked and leaking.",negative,poor_quality|slow_response
Very disappointed. unfriendly attitude the whole time. On top of that never arrived at the agreed time.,negative,late|rude
Would not recommend. was really rude on the phone.,negative,rude
Excellent worker. on time. Unfortunately yelled at me when I pointed out a mistake.,mixed,punctual|rude
"Highly recommend. fair quote and stuck to it, plus got back to me right away.",positive,fast_response|price_fair
Very satisfied. solid work that will last for years.,positive,high_quality
"Really happy with this. very friendly and polite. On top of that super fast communication throughout — very professional result, looks amazing.",positive,fast_response|friendly|high_quality
Not happy at all. final bill was double the estimate.,negative,overpriced
"Terrible service. not worth the money at all, plus such a rude person.",negative,overpriced|rude
Would not recommend. got rude with me.,negative,rude
Answered immediately and came the same day. However bad work.,mixed,fast_response|poor_quality
Would not recommend. stopped responding after the first visit.,negative,slow_response
Bad experience. was late both days without warning — took days to answer my messages.,negative,late|slow_response
Very satisfied. cheap and good and replied to my request within minutes.,positive,fast_response|price_fair
Great experience. good quality and durable.,positive,high_quality
Very satisfied. super fast communication throughout.,positive,fast_response
Excellent worker. always on time on both days.,positive,punctual
"Solid work that will last for years, plus cheap and good.",positive,high_quality|price_fair
Would not recommend. postponed twice and then came late anyway. Also had a bad attitude.,negative,late|rude
Avoid this worker. kept me waiting all morning.,negative,late
Bad experience. came very late — stopped responding after the first visit. On top of that was really rude on the phone.,negative,late|rude|slow_response
Great experience. very responsive.,positive,fast_response
"Avoid this worker. very expensive. On top of that got aggressive when I asked questions and very unprofessional result, had to redo it.",negative,overpriced|poor_quality|rude
Terrible service. had to hire someone else to fix his mistakes.,negative,poor_quality
Bad experience. did not respect the schedule at all.,negative,late
"Really happy with this. instant reply when I contacted him, plus kept to the agreed schedule perfectly.",positive,fast_response|punctual
Great experience. courteous and professional in every way. However very expensive.,mixed,friendly|overpriced
Great experience. always punctual.,positive,punctual
Bad experience. extremely slow communication. Also never arrived at the agreed time.,negative,late|slow_response
Avoid this worker. kept me waiting all morning. Also was arrogant and talked down to me.,negative,late|rude
Not happy at all. sloppy work.,negative,poor_quality
Highly recommend. very reasonable price for the work done.,positive,price_fair
Would not recommend. postponed twice and then came late anyway.,negative,late
"Very satisfied. same day service, incredibly fast. On top of that treated my home with respect, lovely person.",positive,fast_response|friendly
Not happy at all. quite rude when I asked questions.,negative,rude
"Very satisfied. amazing work, really well done — always punctual. On top of that friendly, honest and easy to talk to.",positive,friendly|high_quality|punctual
"Really happy with this. best price I could find for this job, plus top quality job, no issues since.",positive,high_quality|price_fair
Terrible service. took days to answer my messages. Also he was late.,negative,late|slow_response
Great experience. very reasonable price for the work done.,positive,price_fair
Really happy with this. always on time on both days.,positive,punctual
"Excellent worker. kept to the agreed schedule perfectly, but did not respect the schedule at all.",mixed,late|punctual
"Not happy at all. took long to get back to me. Also always late, wasted my whole day and did a horrible job.",negative,late|poor_quality|slow_response
"Very disappointed. unfriendly attitude the whole time, plus missed the appointment completely.",negative,late|rude
Not happy at all. rude and unprofessional behavior. On top of that not worth the money at all.,negative,overpriced|rude
Highly recommend. solid work that will last for years. Unfortunately arrived late without any excuse.,mixed,high_quality|late
Terrible service. took long to get back to me. On top of that very rude and dismissive.,negative,rude|slow_response
Really happy with this. finished the job within the promised time.,positive,punctual
Great experience. polite and helpful — the quality of the work is excellent and got back to me right away.,positive,fast_response|friendly|high_quality
Not happy at all. demanded extra money for no reason and stopped responding after the first visit — the installation was done wrong.,negative,overpriced|poor_quality|slow_response
Bad experience. hours late.,negative,late
Would hire again. polite and helpful.,positive,friendly
Had to chase him constantly for updates and sloppy work.,negative,poor_quality|slow_response
Bad experience. his prices are absurdly high. On top of that had a bad attitude.,negative,overpriced|rude
Terrible service. hours late.,negative,late
"Excellent worker. excellent quality, but he was late.",mixed,high_quality|late
Terrible service. demanded extra money for no reason.,negative,overpriced
Very disappointed. the job took twice as long as promised.,negative,late
Stopped responding after the first visit. Also way too expensive for what he did.,negative,overpriced|slow_response
"Excellent worker. on time, plus quick response.",positive,fast_response|punctual
Communication was slow and hours late and disrespectful towards me and my home.,negative,late|rude|slow_response
Very satisfied. nice and friendly.,positive,friendly
Terrible service. postponed twice and then came late anyway. Also quite rude when I asked questions. On top of that overpriced for such a simple job.,negative,late|overpriced|rude
Excellent worker. instant reply when I contacted him.,positive,fast_response
Terrible service. did not respect the schedule at all.,negative,late
Would hire again. best price I could find for this job. On top of that right on time.,positive,price_fair|punctual
Not happy at all. was late both days without warning.,negative,late
Courteous and professional in every way.,positive,friendly
Not happy at all. was arrogant and talked down to me.,negative,rude
Would hire again. fair price for good work. Sadly had to hire someone else to fix his mistakes.,mixed,poor_quality|price_fair
Terrible service. showed up two hours late.,negative,late
Very satisfied. got back to me right away.,positive,fast_response
Would not recommend. bad quality.,negative,poor_quality
"Would hire again. perfect job. On top of that treated my home with respect, lovely person, plus transparent pricing from the start.",positive,friendly|high_quality|price_fair
Quick response and the cost was lower than I expected.,positive,fast_response|price_fair
Really happy with this. good price.,positive,price_fair
Excellent worker. courteous and professional in every way.,positive,friendly
Would hire again. instant reply when I contacted him — affordable and honest pricing.,positive,fast_response|price_fair
He was punctual and ready to work.,positive,punctual
Excellent worker. came even a few minutes early and the repair was done perfectly.,positive,high_quality|punctual
Not happy at all. missed the appointment completely.,negative,late
Very satisfied. fast reply.,positive,fast_response
Very disappointed. got rude with me.,negative,rude
Avoid this worker. came very late and final bill was double the estimate.,negative,late|overpriced
Would not recommend. added hidden costs at the end.,negative,overpriced
"Missed the appointment completely and sloppy job, it broke again after a week, plus final bill was double the estimate.",negative,late|overpriced|poor_quality
Very satisfied. the cost was lower than I expected. On top of that everything was installed properly and works great — fast reply.,positive,fast_response|high_quality|price_fair
Very disappointed. low quality job.,negative,poor_quality
Excellent worker. was there at 8 sharp as agreed.,positive,punctual
Really happy with this. very friendly the whole time and transparent pricing from the start.,positive,friendly|price_fair
Bad experience. the installation was done wrong.,negative,poor_quality
"Excellent worker. very punctual, respected my schedule. The downside: not worth the money at all.",mixed,overpriced|punctual
Excellent worker. answered immediately and came the same day.,positive,fast_response
Great experience. was there at 8 sharp as agreed.,positive,punctual
Highly recommend. the price is right.,positive,price_fair
"Not happy at all. communication was painfully slow, plus expensive and not worth it, plus always late, wasted my whole day.",negative,late|overpriced|slow_response
Very disappointed. left a small mess.,negative,poor_quality
Terrible service. was arrogant and talked down to me.,negative,rude
"Excellent worker. friendly, honest and easy to talk to — very responsive.",positive,fast_response|friendly
"Excellent worker. fair price for good work and super fast communication throughout, plus polite and helpful.",positive,fast_response|friendly|price_fair
Terrible service. missed the appointment completely.,negative,late
Highly recommend. super fast communication throughout.,positive,fast_response
Avoid this worker. he was late — sloppy work.,negative,late|poor_quality
Would not recommend. extremely slow communication. Also way too expensive for what he did.,negative,overpriced|slow_response
Highly recommend. very friendly and polite. Also fair quote and stuck to it.,positive,friendly|price_fair
Bad experience. not worth the money at all.,negative,overpriced
"Sloppy job, it broke again after a week. Also slow to reply.",negative,poor_quality|slow_response
Avoid this worker. so rude to me.,negative,rude
Very disappointed. damaged my wall while working.,negative,poor_quality
"Very disappointed. showed up two hours late and never replies, impossible to reach.",negative,late|slow_response
"Excellent worker. treated my home with respect, lovely person.",positive,friendly
"Highly recommend. his work is really good, plus kept to the agreed schedule perfectly.",positive,high_quality|punctual
Great experience. fair quote and stuck to it.,positive,price_fair
Very satisfied. the work quality is really good.,positive,high_quality
Not happy at all. yelled at me when I pointed out a mistake. Also he was late and not worth the money at all.,negative,late|overpriced|rude
Highly recommend. responds fast.,positive,fast_response
Excellent worker. good price. On top of that his work is really good. Also super friendly.,positive,friendly|high_quality|price_fair
Way too expensive for what he did.,negative,overpriced
Really happy with this. the cost was lower than I expected. The downside: never arrived at the agreed time.,mixed,late|price_fair
"Highly recommend. very quick to respond to my messages, plus arrived exactly on time.",positive,fast_response|punctual
Would hire again. solid quality work.,positive,high_quality
Very satisfied. outstanding work on my bathroom and super fast communication throughout.,positive,fast_response|high_quality
Bad experience. arrived late without any excuse.,negative,late
Terrible service. slow to reply.,negative,slow_response
"Excellent worker. very friendly and polite, but not worth the money at all.",mixed,friendly|overpriced
"Avoid this worker. poor workmanship, crooked and leaking and very rude and dismissive.",negative,poor_quality|rude
Really happy with this. quick response.,positive,fast_response
"Highly recommend. very responsive. Also quality is top, plus nice guy.",positive,fast_response|friendly|high_quality
"Bad experience. overpriced for such a simple job, plus always late, wasted my whole day.",negative,late|overpriced
"Great experience. arrived exactly on time, but did not respect the schedule at all.",mixed,late|punctual
Would hire again. the cost was lower than I expected. Unfortunately the work was awful.,mixed,poor_quality|price_fair
"Never replies, impossible to reach. Also sloppy work — way too expensive for what he did.",negative,overpriced|poor_quality|slow_response
"Never replies, impossible to reach.",negative,slow_response
Not happy at all. was really rude on the phone.,negative,rude
The work is very good.,positive,high_quality
Not happy at all. rude and unprofessional behavior.,negative,rude
Very disappointed. communication was painfully slow.,negative,slow_response
"Great experience. the repair was done perfectly, but communication was slow.",mixed,high_quality|slow_response
Very satisfied. left everything clean and tidy after finishing.,positive,high_quality
"Bad experience. the installation was done wrong, plus hours late, plus had a bad attitude.",negative,late|poor_quality|rude
"Would hire again. didn't overcharge me at all, honest guy.",positive,price_fair
Avoid this worker. got rude with me.,negative,rude
"Avoid this worker. so rude to me, plus kept me waiting all morning.",negative,late|rude
"Really happy with this. everything was installed properly and works great, plus right on time.",positive,high_quality|punctual
Really happy with this. showed up right when he said he would and the price was very fair.,positive,price_fair|punctual
Very satisfied. responds fast. On top of that very friendly and polite.,positive,fast_response|friendly
Not happy at all. he was late.,negative,late
Not happy at all. kept me waiting all morning and he was very rude.,negative,late|rude
Expensive and not worth it.,negative,overpriced
Highly recommend. perfect job.,positive,high_quality
Terrible service. overpriced for such a simple job and the problem came back two days later.,negative,overpriced|poor_quality
"Had a bad attitude, plus response time could be faster.",negative,rude|slow_response
Excellent worker. answered immediately and came the same day.,positive,fast_response
Avoid this worker. was arrogant and talked down to me and left a mess and the repair failed.,negative,poor_quality|rude
"Avoid this worker. zero manners, very unpleasant person.",negative,rude
"Charged exactly what was quoted, no surprises.",positive,price_fair
"Avoid this worker. zero manners, very unpleasant person.",negative,rude
Excellent worker. responds fast.,positive,fast_response
Really happy with this. always on time on both days.,positive,punctual
Bad experience. kept me waiting all morning.,negative,late
Highly recommend. polite and helpful. On top of that answered immediately and came the same day and great value for money.,positive,fast_response|friendly|price_fair
"Avoid this worker. sloppy job, it broke again after a week.",negative,poor_quality
Would not recommend. the job took twice as long as promised. On top of that way too expensive for what he did — waited forever just to get a quote.,negative,late|overpriced|slow_response
Very satisfied. transparent pricing from the start.,positive,price_fair
"Super friendly. On top of that got back to me right away and amazing work, really well done.",positive,fast_response|friendly|high_quality
"Bad experience. so rude to me. Also always late, wasted my whole day.",negative,late|rude
Arrived exactly on time. The downside: arrived late without any excuse.,mixed,late|punctual
Not happy at all. hours late.,negative,late
Bad experience. bad quality — he was very rude.,negative,poor_quality|rude
Very disappointed. his prices are absurdly high.,negative,overpriced
Avoid this worker. way too expensive for what he did. Also took days to answer my messages.,negative,overpriced|slow_response
"Not happy at all. overpriced for such a simple job, plus so rude to me.",negative,overpriced|rude
Would not recommend. had to chase him constantly for updates. On top of that the problem came back two days later and did not respect the schedule at all.,negative,late|poor_quality|slow_response
Would not recommend. arrived late without any excuse.,negative,late
Avoid this worker. way too expensive for what he did and stopped responding after the first visit.,negative,overpriced|slow_response
"Not happy at all. very unprofessional result, had to redo it, plus his prices are absurdly high.",negative,overpriced|poor_quality
Not happy at all. bad work.,negative,poor_quality
"Very satisfied. made me feel comfortable, very nice guy.",positive,friendly
"Very satisfied. got back to me right away. On top of that fair price for good work — treated my home with respect, lovely person.",positive,fast_response|friendly|price_fair
Bad experience. was arrogant and talked down to me. Also missed the appointment completely — added hidden costs at the end.,negative,late|overpriced|rude
"Arrived exactly on time, plus very friendly the whole time. Also very reasonable price for the work done.",positive,friendly|price_fair|punctual
Bad experience. had to hire someone else to fix his mistakes.,negative,poor_quality
Would hire again. great value for money. On top of that always on time on both days.,positive,price_fair|punctual
Very disappointed. the installation was done wrong.,negative,poor_quality
"Really happy with this. made me feel comfortable, very nice guy.",positive,friendly
Would hire again. responds fast. Also transparent pricing from the start.,positive,fast_response|price_fair
Not happy at all. never arrived at the agreed time and had to hire someone else to fix his mistakes. On top of that response time could be faster.,negative,late|poor_quality|slow_response
Great experience. on time. Sadly such a rude person.,mixed,punctual|rude
"Highly recommend. good quality and durable. On top of that got back to me right away, plus he was punctual and ready to work.",positive,fast_response|high_quality|punctual
"Terrible service. response time could be faster, plus added hidden costs at the end.",negative,overpriced|slow_response
"Bad work, plus zero manners, very unpleasant person.",negative,poor_quality|rude
Highly recommend. excellent quality. Unfortunately left a mess and the repair failed.,mixed,high_quality|poor_quality
Excellent worker. fair quote and stuck to it. Also very quick to respond to my messages.,positive,fast_response|price_fair
Bad experience. cheap materials and careless work and disrespectful towards me and my home.,negative,poor_quality|rude
Terrible service. missed the appointment completely — the work quality was terrible.,negative,late|poor_quality
"Excellent worker. quality is top — treated my home with respect, lovely person.",positive,friendly|high_quality
Highly recommend. always on time on both days.,positive,punctual
Unfriendly attitude the whole time. Also the job took twice as long as promised.,negative,late|rude
Really happy with this. very friendly and polite.,positive,friendly
"Treated my home with respect, lovely person — fixed everything perfectly — always on time on both days.",positive,friendly|high_quality|punctual
Fair price for good work. The downside: ignored my calls for a week.,mixed,price_fair|slow_response
Very satisfied. arrived exactly on time — polite and helpful.,positive,friendly|punctual
"Very disappointed. arrived late without any excuse. Also bad quality, plus never replies, impossible to reach.",negative,late|poor_quality|slow_response
Really happy with this. quality is top. Also was there at 8 sharp as agreed.,positive,high_quality|punctual
Terrible service. overpriced for such a simple job. On top of that never arrived at the agreed time.,negative,late|overpriced
"Avoid this worker. response time could be faster, plus added hidden costs at the end.",negative,overpriced|slow_response
Excellent worker. great quality work. However quite rude when I asked questions.,mixed,high_quality|rude
Very satisfied. solid work — nice guy.,positive,friendly|high_quality
Excellent worker. the price was very fair — the quality of the work is excellent.,positive,high_quality|price_fair
Really happy with this. always on time on both days. Also good quality and durable.,positive,high_quality|punctual
Avoid this worker. came very late.,negative,late
Excellent worker. great quality work.,positive,high_quality
Took long to get back to me.,negative,slow_response
"Excellent worker. charged exactly what was quoted, no surprises.",positive,price_fair
Extremely slow communication.,negative,slow_response
"Good price. On top of that made me feel comfortable, very nice guy.",positive,friendly|price_fair
Highly recommend. solid work that will last for years and responds fast.,positive,fast_response|high_quality
Would hire again. finished the job within the promised time.,positive,punctual
Bad experience. rude and unprofessional behavior.,negative,rude
Very satisfied. nice guy. Also best price I could find for this job — right on time.,positive,friendly|price_fair|punctual
"Would hire again. treated my home with respect, lovely person.",positive,friendly
"Amazing work, really well done. Sadly took long to get back to me.",mixed,high_quality|slow_response
Very responsive and the work quality is really good.,positive,fast_response|high_quality
Really happy with this. nice and friendly. Sadly communication was slow.,mixed,friendly|slow_response
Excellent worker. he was punctual and ready to work.,positive,punctual
Very satisfied. kind person.,positive,friendly
Really happy with this. solid quality work.,positive,high_quality
Terrible service. charged much more than the original quote.,negative,overpriced
Really happy with this. good price.,positive,price_fair
Great experience. the work is very good.,positive,high_quality
"Bad experience. very unprofessional result, had to redo it. On top of that very expensive. On top of that he was late.",negative,late|overpriced|poor_quality
Not happy at all. missed the appointment completely.,negative,late
"Excellent worker. always punctual and didn't overcharge me at all, honest guy.",positive,price_fair|punctual
Very satisfied. came even a few minutes early. Sadly overpriced for such a simple job.,mixed,overpriced|punctual
Really happy with this. responded quickly and scheduled the visit fast. Also the work quality is really good.,positive,fast_response|high_quality
"Great experience. quick response, plus nice guy.",positive,fast_response|friendly
Terrible service. waited forever just to get a quote.,negative,slow_response
Terrible service. cheap materials and careless work. Also demanded extra money for no reason.,negative,overpriced|poor_quality
Would not recommend. communication was painfully slow and postponed twice and then came late anyway.,negative,late|slow_response
"Really happy with this. very professional result, looks amazing.",positive,high_quality
"Highly recommend. always on time on both days, plus great value for money.",positive,price_fair|punctual
Very satisfied. fair price for good work. Unfortunately disrespectful towards me and my home.,mixed,price_fair|rude
Damaged my wall while working.,negative,poor_quality
Very satisfied. fair quote and stuck to it. On top of that quick response and fixed everything perfectly.,positive,fast_response|high_quality|price_fair
"Highly recommend. affordable and honest pricing. On top of that top quality job, no issues since.",positive,high_quality|price_fair
"Very satisfied. did a quality job, but his prices are absurdly high.",mixed,high_quality|overpriced
Stopped responding after the first visit and damaged my wall while working.,negative,poor_quality|slow_response
"Great experience. amazing work, really well done and explained everything patiently and nicely and super fast communication throughout.",positive,fast_response|friendly|high_quality
Responded quickly and scheduled the visit fast. On top of that fair price for good work. Also arrived exactly on time.,positive,fast_response|price_fair|punctual
Terrible service. cheap materials and careless work — too expensive.,negative,overpriced|poor_quality
Terrible service. damaged my wall while working.,negative,poor_quality
Ignored my calls for a week — final bill was double the estimate.,negative,overpriced|slow_response
Highly recommend. explained everything patiently and nicely. Sadly waited forever just to get a quote.,mixed,friendly|slow_response
Very satisfied. fixed everything perfectly.,positive,high_quality
Terrible service. cheap materials and careless work. Also extremely slow communication.,negative,poor_quality|slow_response
Bad experience. expensive and not worth it.,negative,overpriced
"Excellent worker. explained everything patiently and nicely — the work is very good. Also same day service, incredibly fast.",positive,fast_response|friendly|high_quality
Terrible service. was arrogant and talked down to me.,negative,rude
Excellent worker. solid work that will last for years.,positive,high_quality
"Excellent worker. very punctual, respected my schedule. However unfriendly attitude the whole time.",mixed,punctual|rude
Not happy at all. was arrogant and talked down to me and communication was painfully slow — cheap materials and careless work.,negative,poor_quality|rude|slow_response
Arrived late without any excuse.,negative,late
Highly recommend. finished the job within the promised time and excellent quality.,positive,high_quality|punctual
Very satisfied. polite and helpful and transparent pricing from the start.,positive,friendly|price_fair
"Would not recommend. disrespectful towards me and my home, plus hours late.",negative,late|rude
"Excellent worker. answered immediately and came the same day, plus friendly, honest and easy to talk to.",positive,fast_response|friendly
"Highly recommend. didn't overcharge me at all, honest guy. Sadly expensive and not worth it.",mixed,overpriced|price_fair
Not happy at all. stopped responding after the first visit — missed the appointment completely — the installation was done wrong.,negative,late|poor_quality|slow_response
Excellent worker. always on time on both days and quality is top.,positive,high_quality|punctual
Would hire again. left everything clean and tidy after finishing.,positive,high_quality
"Great experience. charged exactly what was quoted, no surprises.",positive,price_fair
Very satisfied. very friendly the whole time. Also the work is very good.,positive,friendly|high_quality
Overpriced for such a simple job.,negative,overpriced
Would not recommend. the installation was done wrong. Also communication was slow. Also unfriendly attitude the whole time.,negative,poor_quality|rude|slow_response
Bad experience. postponed twice and then came late anyway and ignored my calls for a week.,negative,late|slow_response
Great experience. instant reply when I contacted him.,positive,fast_response
Really happy with this. super friendly.,positive,friendly
Great experience. nice guy. On top of that fair quote and stuck to it.,positive,friendly|price_fair
Such a rude person.,negative,rude
"Excellent worker. the price was very fair, plus super fast communication throughout.",positive,fast_response|price_fair
Not happy at all. communication was painfully slow.,negative,slow_response
"Bad experience. never replies, impossible to reach.",negative,slow_response
Would hire again. very quick to respond to my messages.,positive,fast_response
Really happy with this. always punctual.,positive,punctual
Really happy with this. fair quote and stuck to it. Also finished the job within the promised time.,positive,price_fair|punctual
Really happy with this. transparent pricing from the start. On top of that kept to the agreed schedule perfectly and left everything clean and tidy after finishing.,positive,high_quality|price_fair|punctual
Quick response and his work is really good.,positive,fast_response|high_quality
Explained everything patiently and nicely.,positive,friendly
Excellent worker. perfect job. On top of that got back to me right away.,positive,fast_response|high_quality
"Would hire again. fair quote and stuck to it and made me feel comfortable, very nice guy.",positive,friendly|price_fair
"Terrible service. way too expensive for what he did, plus left a mess and the repair failed — waited forever just to get a quote.",negative,overpriced|poor_quality|slow_response
"Bad experience. poor workmanship, crooked and leaking.",negative,poor_quality
"Really happy with this. kept to the agreed schedule perfectly — very friendly and polite, plus best price I could find for this job.",positive,friendly|price_fair|punctual
Finished the job within the promised time. Sadly the installation was done wrong.,mixed,poor_quality|punctual
"Would hire again. the cost was lower than I expected and very friendly and polite, plus top quality job, no issues since.",positive,friendly|high_quality|price_fair
Bad experience. the bill was huge.,negative,overpriced
Highly recommend. nice and friendly. Sadly arrived late without any excuse.,mixed,friendly|late
"Always on time on both days, plus fair quote and stuck to it and top quality job, no issues since.",positive,high_quality|price_fair|punctual
"Would hire again. same day service, incredibly fast.",positive,fast_response
Would hire again. right on time and kind person.,positive,friendly|punctual
"Would hire again. the quality of the work is excellent, but not responsive at all.",mixed,high_quality|slow_response
"Very satisfied. friendly, honest and easy to talk to. Also the work is very good.",positive,friendly|high_quality
Excellent worker. very responsive.,positive,fast_response
Great experience. attention to detail was impressive. On top of that kept to the agreed schedule perfectly.,positive,high_quality|punctual
"Highly recommend. top quality job, no issues since — fast reply.",positive,fast_response|high_quality
"Really happy with this. treated my home with respect, lovely person.",positive,friendly
Very disappointed. slow to reply.,negative,slow_response
Not happy at all. his prices are absurdly high — quite rude when I asked questions.,negative,overpriced|rude
Would not recommend. postponed twice and then came late anyway — expensive and not worth it.,negative,late|overpriced
"Would not recommend. the work quality was terrible, plus waited forever just to get a quote.",negative,poor_quality|slow_response
Ignored my calls for a week.,negative,slow_response
Terrible service. response time could be faster.,negative,slow_response
Not happy at all. had a bad attitude.,negative,rude
"Very satisfied. kept to the agreed schedule perfectly, plus made me feel comfortable, very nice guy.",positive,friendly|punctual
The work quality was terrible.,negative,poor_quality
Excellent worker. quick response.,positive,fast_response
Bad experience. charged much more than the original quote.,negative,overpriced
Fair quote and stuck to it. Sadly way too expensive for what he did.,mixed,overpriced|price_fair
"Very satisfied. perfect job, plus finished the job within the promised time.",positive,high_quality|punctual
Would not recommend. charged much more than the original quote. On top of that the work quality was terrible.,negative,overpriced|poor_quality
Not happy at all. the price was a complete rip off.,negative,overpriced
Avoid this worker. yelled at me when I pointed out a mistake and arrived late without any excuse.,negative,late|rude
Would hire again. always punctual and polite and helpful.,positive,friendly|punctual
"Very satisfied. flawless workmanship, everything works perfectly. On top of that fair quote and stuck to it.",positive,high_quality|price_fair
Really happy with this. everything was installed properly and works great.,positive,high_quality
Would hire again. always punctual and courteous and professional in every way.,positive,friendly|punctual
"Would hire again. very punctual, respected my schedule and perfect job, plus the cost was lower than I expected.",positive,high_quality|price_fair|punctual
"Really happy with this. was there at 8 sharp as agreed. The downside: never replies, impossible to reach.",mixed,punctual|slow_response
Avoid this worker. did not respect the schedule at all.,negative,late
"Would not recommend. missed the appointment completely — very unprofessional result, had to redo it and the price was a complete rip off.",negative,late|overpriced|poor_quality
Arrived late without any excuse.,negative,late
Would not recommend. communication was painfully slow.,negative,slow_response
Would not recommend. had a bad attitude — the price was a complete rip off.,negative,overpriced|rude
Not happy at all. ignored my calls for a week.,negative,slow_response
Would not recommend. the work was awful.,negative,poor_quality
"Very quick to respond to my messages — treated my home with respect, lovely person.",positive,fast_response|friendly
Bad experience. not responsive at all. Also so rude to me.,negative,rude|slow_response
Great experience. fast reply.,positive,fast_response
Terrible service. left a small mess and missed the appointment completely.,negative,late|poor_quality
"Excellent worker. fair quote and stuck to it, plus very responsive.",positive,fast_response|price_fair
"Very satisfied. replied to my request within minutes — top quality job, no issues since.",positive,fast_response|high_quality
Very satisfied. courteous and professional in every way.,positive,friendly
"Very satisfied. polite and helpful, plus super fast communication throughout, plus affordable and honest pricing.",positive,fast_response|friendly|price_fair
Communication was painfully slow. Also the job took twice as long as promised.,negative,late|slow_response
"Bad experience. hours late, plus added hidden costs at the end.",negative,late|overpriced
Demanded extra money for no reason. Also came very late. On top of that waited forever just to get a quote.,negative,late|overpriced|slow_response
"Highly recommend. fast reply, but expensive and not worth it.",mixed,fast_response|overpriced
"Very satisfied. didn't overcharge me at all, honest guy.",positive,price_fair
Excellent worker. instant reply when I contacted him. Sadly was arrogant and talked down to me.,mixed,fast_response|rude
Very satisfied. everything was installed properly and works great.,positive,high_quality
Really happy with this. super friendly — solid quality work.,positive,friendly|high_quality
Avoid this worker. got rude with me and was late both days without warning.,negative,late|rude
"Great experience. best price I could find for this job. The downside: poor workmanship, crooked and leaking.",mixed,poor_quality|price_fair
Great experience. cheap and good — explained everything patiently and nicely.,positive,friendly|price_fair
Would hire again. excellent quality. Unfortunately the work quality was terrible.,mixed,high_quality|poor_quality
Would hire again. the price is right and outstanding work on my bathroom.,positive,high_quality|price_fair
Would not recommend. had to hire someone else to fix his mistakes — expensive and not worth it.,negative,overpriced|poor_quality
"Would not recommend. poor workmanship, crooked and leaking.",negative,poor_quality
Would hire again. attention to detail was impressive and got back to me right away.,positive,fast_response|high_quality
"Highly recommend. instant reply when I contacted him, plus kept to the agreed schedule perfectly.",positive,fast_response|punctual
"Great experience. made me feel comfortable, very nice guy. Also transparent pricing from the start.",positive,friendly|price_fair
Terrible service. the job took twice as long as promised.,negative,late
"Great experience. showed up right when he said he would. Also very responsive. Also pleasant to deal with, great attitude.",positive,fast_response|friendly|punctual
Highly recommend. arrived exactly on time. Also did a quality job.,positive,high_quality|punctual
Would hire again. fair quote and stuck to it and courteous and professional in every way — got back to me right away.,positive,fast_response|friendly|price_fair
"Very satisfied. responded quickly and scheduled the visit fast. Sadly very unprofessional result, had to redo it.",mixed,fast_response|poor_quality
Super friendly — the repair was done perfectly. On top of that always punctual.,positive,friendly|high_quality|punctual
Bad experience. disrespectful towards me and my home and low quality job.,negative,poor_quality|rude
Very satisfied. fair quote and stuck to it — super friendly.,positive,friendly|price_fair
Not happy at all. overpriced for such a simple job.,negative,overpriced
Avoid this worker. takes forever to answer.,negative,slow_response
Very disappointed. unfriendly attitude the whole time.,negative,rude
Bad experience. hours late.,negative,late
Would hire again. got back to me right away. Also quality is top.,positive,fast_response|high_quality
